Category,Question,Answer
WILD LINES,"Buffalo Bill met the Queen of England ""at the door of the box, with my sombrero in my hand and welcomed her to"" this place",the Wild West
NICKNAMES,"Wrigley Field is nicknamed ""The Friendly"" these",Confines
ALL BETS,"It's the 4-letter bet where you get paid if your horse comes in 1st, 2nd or even 3rd",show
R OFF,"Remove an ""R"" from a word for a family member & get this word for annoy, which that person might do to you",bother (b r other to bother)
O CANADA PROVINCE CAPITAL,"This Alberta city is called ""The Gateway to the North"" & in the 2022-23 season, the gateway to 64 Connor McDavid goals",Edmonton
DYING ON TV,"( Tony Hale presents the clue. ) As Buster Bluth , I dressed up as a stripper & danced to ""The Final Countdown"" at my father's funeral on this sitcom; then the casket fell in the grave, but everyone applauded",Arrested Development
WILD LINES,"In a 1964 Caldecott Medal winner, young Max cries, ""Let the wild"" this ""start!""",rumpus
NICKNAMES,"The standard American World War I training aircraft, the Curtiss JN-4 , had this female nickname",Jenny
ALL BETS,This type of parlay that combines multiple bets in one wager shares its name with an all-play-all tournament,a round robin
R OFF,"Render the ""R"" from a type of cooking fat & meet this word for a young fellow",lad (la r d to lad)
O CANADA PROVINCE CAPITAL,"This Manitoba city is called ""The Gateway to the West"" & in the 2022-23 season, the gateway to 42 Mark Scheifele goals",Winnipeg
DYING ON TV,"On ""The Wire"", this Michael K. Williams character was no longer comin' after he was killed in a convenience store",Omar
WILD LINES,"In the Old Testament an angel tells Hagar that she will bear a son who ""will be a wild man"" & that she should call him this",Ishmael
NICKNAMES,"""Big Beefhead"" was one nickname for this late 19th century president",Grover Cleveland
ALL BETS,Guess the color of Gatorade dumped on the coach's head to win this 4-letter kind of side bet,prop
R OFF,"Ship off the ""R"" on the word for a boat's docking locale & get this first name of female characters Dutton & Harmon",Beth (be r th to Beth)
O CANADA PROVINCE CAPITAL,It has been the capital of British Columbia ever since the province joined Canada in 1871,Victoria
DYING ON TV,"Motorcycle madness! After learning his mom Gemma was behind the murder of his wife, Jax committed matricide on this FX show",Sons of Anarchy
WILD LINES,"""None of nature's landscapes are ugly so long as they are wild"", this environmentalist wrote in 1898",Muir
NICKNAMES,New Orleans is also called this city because of its placement on a sharp bend of the Mississippi River,the Crescent City
ALL BETS,The Martingale betting system suggests: at least do this after every loss to recoup the initial stake,double your wager
R OFF,"Kick out the ""R"" from a pile of stones on a hiking trail & wander aimlessly; the word becomes this name of a man in Genesis",Cain (cai r n to Cain)
AMERICAN AUTHORS,"Best known for his Alaska-based adventures, one involving dogs, he spent lots of time in Hawaii before his death in 1916",London
CAMEOS,"After a burrito incident, Jack Black kicks this anchorman's beloved dog Baxter off a bridge",Ron Burgundy
THE NATURAL WORLD,"The Goliath birdeater , a South American type of this spider, makes a hissing sound when threatened",a tarantula
LANGUAGES,"It seemed an unlikely goal, but Eliezer Ben-Yehuda made this biblical language spoken once more",Hebrew
IT'S A CRISIS!,"In the 1898 Fashoda Crisis, the British squared off with this country's Major Marchand over rights to the Sudanese Nile",France
WORDS THAT SHOULD RHYME,"A short life story of someone, & a 3-member musical act",trio & bio
AMERICAN AUTHORS,"During WWII this author of ""The Red Pony"" served as a war correspondent for the New York Herald Tribune",John Steinbeck
CAMEOS,"This legendary guitarist appeared as Captain Jack Sparrow's pop in ""Pirates of the Caribbean: At World's End""",Keith Richards
THE NATURAL WORLD,The leaves of a small shrub called the Egyptian privet produce this orange-brown dye used to color hair,henna
LANGUAGES,Irish is one form of this language also called Erse,Gaelic
IT'S A CRISIS!,A Japanese financial crisis was sparked in 1927 when a govt. minister mistakenly said that the Tokyo Watanabe one of these had gone bust,a bank
WORDS THAT SHOULD RHYME,"A trainee in a skilled trade, & to lure by arousing desire or hope",apprentice & entice
AMERICAN AUTHORS,"This author of ""The Accidental Tourist"" is good friends with a fellow Baltimore resident, director John Waters",Anne Tyler
CAMEOS,Ming-Na Wen voiced the title character in this 1998 film & made a cameo in the 2020 live-action remake,Mulan
THE NATURAL WORLD,"The name of this water bird comes from the Latin Corvus marinus, which means ""sea raven""",a cormorant
LANGUAGES,The ancient Middle Eastern region of Fars is the birthplace of this country's official language,Iran
IT'S A CRISIS!,One crisis that jump-started the Intl. Crisis Group: famine in this land where clans fought after Mohammed Siad Barre's dictatorship,Somalia
WORDS THAT SHOULD RHYME,"A tremulous, pulsating vocal effect, & a Russet Burbank",vibrato & potato
AMERICAN AUTHORS,"In 1992 this ""Naked Lunch"" author had a shaman perform an exorcism on him to cast out what he called ""the ugly spirit""",Burroughs
CAMEOS,"In a blink-&-you-missed-it cameo, he appears as Vanisher in ""Deadpool 2""",Brad Pitt
THE NATURAL WORLD,"Hard to find in its natural habitat, the Ituri Rainforest, this smaller giraffe relative was unknown to Western science until 1900",the okapi
LANGUAGES,"Tamil is the official language of this Indian state with ""Tamil"" in its name",Tamil Nadu
IT'S A CRISIS!,A crisis was sparked by this leader's 1958 demand that the U.S. & its allies pull their troops out of West Berlin,Khrushchev
WORDS THAT SHOULD RHYME,"Disfiguring skin disease once resulting in quarantining, & a little too interested in the affairs of others",leprosy & nosy
AMERICAN AUTHORS,"She made appearances in the movies ""Rumble Fish"" & ""The Outsiders"", both based on her novels",Hinton
CAMEOS,Paul Reubens' final film appearance was a cameo in this movie in which Awkwafina plays the game show-obsessed title female,Quiz Lady
THE NATURAL WORLD,"The Indian pipe plant is mycoheterotrophic, meaning it gets most of its food directly from this type of organism",a fungus
LANGUAGES,"In 2011 Morocco made an official language of Tamazight, the native tongue of this large ethnic group",the Berbers
IT'S A CRISIS!,A 21st century humanitarian crisis was caused by the Islamist insurgency of this group also called the Nigerian Taliban,Boko Haram
WORDS THAT SHOULD RHYME,"To pay no attention to, & an Italian version of ""Mr."" heard in ""That's Amore""",ignore & signore
